URL,Title,Rating,Category,Tags,Notes,Created At
"https://github.com","GitHub - Where the world builds software",5,"Development","coding, git, opensource","Essential platform for code collaboration and version control","2024-01-15T00:00:00.000Z"
"https://stackoverflow.com","Stack Overflow - Developer Q&A",5,"Development","coding, help, community","Best resource for programming questions and answers","2024-01-20T00:00:00.000Z"
"https://developer.mozilla.org","MDN Web Docs",5,"Development","documentation, web, reference","Comprehensive web development documentation","2024-02-01T00:00:00.000Z"
"https://stripe.com/docs","Stripe Documentation",4,"Development","payments, api, documentation","Payment processing integration guides","2024-02-10T00:00:00.000Z"
"https://tailwindcss.com","Tailwind CSS",5,"Design","css, framework, styling","Utility-first CSS framework for rapid UI development","2024-02-15T00:00:00.000Z"
"https://figma.com","Figma - Collaborative Design Tool",5,"Design","design, ui, collaboration","Cloud-based design and prototyping tool","2024-03-01T00:00:00.000Z"
"https://aws.amazon.com","Amazon Web Services (AWS)",4,"Cloud","cloud, hosting, infrastructure","Comprehensive cloud computing platform","2024-03-10T00:00:00.000Z"
"https://vercel.com","Vercel - Deploy Web Apps Instantly",5,"Cloud","deployment, hosting, nextjs","Fast and easy deployment platform for frontend","2024-03-15T00:00:00.000Z"
"https://chatgpt.com","ChatGPT by OpenAI",5,"AI","ai, chatbot, productivity","AI assistant for coding, writing, and problem-solving","2024-04-01T00:00:00.000Z"
"https://claude.ai","Claude by Anthropic",5,"AI","ai, assistant, coding","Advanced AI assistant with strong coding capabilities","2024-04-10T00:00:00.000Z"
